Id,Prediction
0 , 5349928.82
1 , 6238416.24
2 , 2970782.84
3 , 3361164.56
4 , 4024684.74
5 , 5081127.0
6 , 5117035.92
7 , 4467078.34
8 , 4781494.66
9 , 5028269.0
10 , 4147600.04
11 , 5102642.6
12 , 2174226.58
13 , 4746190.94
14 , 2518544.96
15 , 3911264.68
16 , 13122382.4
17 , 6130997.56
18 , 5112691.96
19 , 2648813.5
20 , 5253183.98
21 , 2761938.28
22 , 4465901.74
23 , 3048103.74
24 , 7513764.26
25 , 4603294.5
26 , 2722228.9
27 , 5286579.0
28 , 5122475.7
29 , 3019161.66
30 , 2850389.76
31 , 2932137.92
32 , 4034740.86
33 , 2647788.16
34 , 4595165.2
35 , 4122668.96
36 , 4055337.5
37 , 2859381.38
38 , 5670113.22
39 , 4415217.48
40 , 6250966.02
41 , 4939789.14
42 , 4797123.36
43 , 2797592.56
44 , 4543740.9
45 , 3843977.48
46 , 4555973.58
47 , 6453058.0
48 , 5837418.2
49 , 7234504.1
50 , 2641844.8
51 , 3374059.26
52 , 2089855.0
53 , 5151916.9
54 , 4326905.74
55 , 6371126.38
56 , 3412471.36
57 , 4054368.54
58 , 3923287.6
59 , 3832918.7
60 , 3606721.34
61 , 5015499.7
62 , 4921426.3
63 , 1992503.38
64 , 3354577.36
65 , 2530952.06
66 , 2718072.6
67 , 4490252.42
68 , 3988770.0
69 , 3512722.38
70 , 4195385.46
71 , 4441853.1
72 , 3503182.32
73 , 6083683.04
74 , 5438542.58
75 , 10811756.64
76 , 4569393.02
77 , 2781641.16
78 , 3872681.88
79 , 5681533.68
80 , 4860920.24
81 , 4072271.18
82 , 3763948.6
83 , 6253287.18
84 , 4263724.92
85 , 9008669.5
86 , 3099748.38
87 , 5164083.64
88 , 2651657.52
89 , 3071537.36
90 , 3884307.68
91 , 2349946.92
92 , 6008569.34
93 , 3683444.34
94 , 3394325.94
95 , 2010936.84
96 , 5997153.3
97 , 8238089.88
98 , 2646597.92
99 , 10681960.1
100 , 7735706.28
101 , 5701783.26
102 , 3433351.46
103 , 3484857.26
104 , 4273197.52
105 , 2723174.4
106 , 4637379.06
107 , 4121303.42
108 , 3442268.2
109 , 4195384.96
110 , 3731334.42
111 , 2919564.9
112 , 3932279.28
113 , 2938841.12
114 , 4423761.82
115 , 4633148.28
116 , 7167508.08
117 , 2731596.44
118 , 2787542.5
119 , 4082831.88
120 , 4183516.64
121 , 3708279.48
122 , 4476922.92
123 , 3915706.64
124 , 3933893.44
125 , 4396648.0
126 , 4198090.52
127 , 6637503.12
128 , 3265863.14
129 , 4020600.46
130 , 3966037.16
131 , 3443510.04
132 , 4819322.52
133 , 8165622.56
134 , 3120734.5
135 , 6725442.54
136 , 6217725.26
