Id,Prediction
0 , 5627401.5
1 , 6867214.5
2 , 2064757.2
3 , 2671614.5
4 , 4304401.0
5 , 5001456.0
6 , 5174448.5
7 , 4472905.5
8 , 4915173.0
9 , 5455905.0
10 , 3773507.2
11 , 5031378.0
12 , 1746401.5
13 , 4885859.0
14 , 1909160.6
15 , 3223863.2
16 , 18162858.0
17 , 8018277.5
18 , 5332513.0
19 , 2039889.6
20 , 5537028.5
21 , 1237953.6
22 , 3968710.0
23 , 3027325.2
24 , 8874641.0
25 , 3785135.0
26 , 2249127.0
27 , 5408498.5
28 , 4716502.5
29 , 3433907.8
30 , 2996828.5
31 , 2087225.9
32 , 3295739.0
33 , 2414377.2
34 , 4070407.8
35 , 3926514.8
36 , 3055117.8
37 , 2744360.8
38 , 6411913.0
39 , 3849204.0
40 , 6841214.5
41 , 4592654.0
42 , 4933001.5
43 , 2699833.2
44 , 4252812.5
45 , 3757244.8
46 , 4258539.5
47 , 7832571.0
48 , 7132027.5
49 , 8464401.0
50 , 2147186.8
51 , 3246523.8
52 , 1779024.5
53 , 5584730.5
54 , 4580516.0
55 , 6894075.5
56 , 2441166.0
57 , 3277074.8
58 , 2987334.0
59 , 3593961.5
60 , 3171635.5
61 , 4383632.5
62 , 5228143.5
63 , 1629859.4
64 , 2576708.2
65 , 1748708.2
66 , 1982574.9
67 , 4143230.8
68 , 3861461.5
69 , 3470307.8
70 , 4034881.0
71 , 4128553.8
72 , 2517107.5
73 , 3776079.0
74 , 5489027.0
75 , 15991510.0
76 , 4570423.5
77 , 1952508.6
78 , 3861081.0
79 , 6283861.5
80 , 3744473.5
81 , 4070490.8
82 , 3742926.0
83 , 5921876.5
84 , 4292274.5
85 , 8206926.5
86 , 3340132.2
87 , 5849465.0
88 , 2073573.9
89 , 2387478.8
90 , 3532381.5
91 , 2103885.2
92 , 6741454.5
93 , 3411002.0
94 , 3737404.5
95 , 1354007.4
96 , 6390575.5
97 , 6695288.5
98 , 2340151.5
99 , 13441067.0
100 , 9466350.0
101 , 4765563.0
102 , 2733425.0
103 , 4298846.5
104 , 4459781.5
105 , 2749937.2
106 , 4883642.5
107 , 3421518.0
108 , 3551556.8
109 , 4305228.5
110 , 2979327.0
111 , 2999170.0
112 , 3765804.8
113 , 2209004.8
114 , 4107211.0
115 , 4851029.0
116 , 8761448.0
117 , 2030481.2
118 , 1874058.1
119 , 3777313.0
120 , 4103475.8
121 , 3457763.8
122 , 4308259.5
123 , 4201129.5
124 , 3806723.0
125 , 4766180.5
126 , 4020762.2
127 , 7500114.5
128 , 2560330.2
129 , 3959127.5
130 , 3362929.8
131 , 3161733.8
132 , 5735069.0
133 , 9245558.0
134 , 2612953.8
135 , 7202243.5
136 , 6378087.5
